,mjd,mjd_n,m j d,m,j,d
0,75.27582165350822,62.12796796922001,98.94740189247331,75.67805042400008,93.95511672049366,74.5625391241093
1,82.7560761336289,76.62187595993221,93.63982618313975,60.046840071703045,71.91831178732515,57.38964540259885
2,72.39716387649067,53.13457361459106,70.96380988804174,74.536471396271,92.1403723319243,99.18740871549228
3,66.95663574654827,57.80868187659329,95.4222984090162,67.81333211203939,91.9141740637212,55.12433379114683
4,76.82200500672975,52.39875580834503,50.10471413633469,66.72563659339443,87.0112918002358,97.7538179951439
5,66.22378968504152,84.3761065292001,87.14012153617658,51.02690857955082,68.8172786354683,72.20681989309914
6,73.77952935121503,62.313736516726,83.98673746796797,51.9314122456358,60.07967784418709,60.93937736324024
7,95.36121722249378,95.34358416061643,51.05937226683579,93.5617185142163,79.0491445407885,64.60735814146045
8,61.38553662528709,62.61594931928672,99.73381940644363,54.389643030891264,60.82311309026451,51.52653077181299
9,77.20878655311769,60.09539947178008,54.38682889240572,51.508627317760826,93.03833987741521,69.2454474521853
10,75.61293143642456,50.969258632487936,92.15000826893655,93.44092933539557,93.0391474340848,68.4883836239631
11,69.75356023312962,85.3182041541754,89.4853039056866,94.49177893061456,58.64453946429725,54.1107070456739
12,86.39393544510537,77.93888007906621,90.00271186639253,65.39635249545461,91.96692196968867,51.81679481512107
13,82.62397249544257,51.37983022065612,50.13089938183618,59.58508771454569,95.88942084389437,92.65597922017767
14,81.84599371276082,80.18928301274602,66.57019030708452,78.9390931797063,85.55709437569213,75.45892528523568
15,87.30287870459061,88.24749498046273,74.61748727244972,55.12519623398687,59.17196123627281,71.87786917291406
16,63.66795234882152,73.72731861899197,67.25448420105252,64.52727253405327,58.46937030321103,71.67415820663044
17,62.940672047113125,56.278014497853114,84.6534423998402,59.93942118868802,69.19672114245377,92.39062847078971
18,69.99316365187313,66.9625049040687,50.188975201797945,75.80061730739888,53.36729956319621,64.15762621741752
19,53.410306737392446,67.95043597357697,76.86482667793942,70.73620686174898,78.95584225993021,58.2556086222567
20,61.77325878890958,79.73948823612307,98.15095744549313,86.01838441419831,89.72991554234717,68.06520730935755
21,74.82926056850681,69.34151022756272,95.2774696657684,59.10110434376944,56.71011678572264,95.17190658872133
22,84.9744370778202,69.18843789002713,74.03985548994068,52.42826104405598,57.292073593934475,88.37151717965459
23,99.99009984878614,95.6431498394686,78.3201866413425,71.97466245513561,68.60200784922006,77.98672780079848
