,Alpha,Beta,Delta,Epsilon,Text,Gamma
0,74.046684905425,55.647588986080976,1,,,
1,46.50526500385441,58.4306037816507,1,,,
2,24.92425343063556,54.22863199574377,1,,,
3,19.222883446920026,42.132547369358925,1,,,
4,85.28981739473825,52.98134326187271,1,,,
5,58.70138344048894,48.038905461816604,1,,,
6,47.93472599070062,49.161296594642806,1,,,
7,60.38098119692514,53.26410426597901,1,,,
8,63.88903718376375,50.11074332683311,1,,,
9,37.50319278582788,49.48769225726667,1,,,
10,49.024107162914305,48.57555488225711,1,,,
11,33.916334584641874,52.92951164735282,1,,,
12,37.439112278907224,54.408145639420546,1,,,
13,55.83697285852149,47.04184921544061,1,,,
14,53.704597266746276,42.96998514305396,1,,,
15,22.936818812289957,57.140488284674056,1,,,
16,81.58343769464821,37.60988797257181,1,,,
17,53.00219460762321,49.21885101889162,1,,,
18,59.34153010738024,59.65748059392457,1,,,
19,42.69534751084348,52.519786460719764,1,,,
20,63.98667334338194,58.12384215288486,1,,,
21,50.922542463826396,52.86594627371608,1,,,
22,43.96737976281151,47.64977297336593,1,,,
23,60.48654470446145,59.21457414336015,1,,,
24,50.56077790789038,54.928710991870844,1,,,
25,32.23669874196199,44.330177379120734,1,1.0,Hello World,
26,55.87696703870127,45.08706349328369,1,1.0,Hello World,
27,52.164064205236386,38.991812952434444,1,1.0,Hello World,
28,68.8984520245942,46.366842113998125,1,1.0,Hello World,
29,32.60491407233157,47.961513826336905,1,1.0,Hello World,
30,60.22615727237472,52.10270770211547,1,1.0,Hello World,
31,30.955934196752125,52.672033012152184,1,1.0,Hello World,
32,60.26921860151883,56.66992473960603,1,1.0,Hello World,
33,45.71832515517121,56.88205792163763,1,1.0,Hello World,
34,74.91515221795069,54.890630720547875,1,1.0,Hello World,
35,59.44587491878309,52.61685665059264,1,1.0,Hello World,
36,48.43413023378602,59.892030909999384,1,1.0,Hello World,
37,61.34280327930739,47.20177893438819,1,1.0,Hello World,
38,37.18476699799194,49.53770512165303,1,1.0,Hello World,
39,64.68644965151653,48.987062197194355,1,1.0,Hello World,
40,42.584728121993756,48.75016948298608,1,1.0,Hello World,
41,42.9109278223914,53.079790240290535,1,1.0,Hello World,
42,46.59221635360091,55.01029129046746,1,1.0,Hello World,
43,64.49628666280526,50.49457897233809,1,1.0,Hello World,
44,42.57540079915513,47.312274623195925,1,1.0,Hello World,
45,59.842409709134685,48.75080853972784,1,1.0,Hello World,
46,61.58073704137948,44.85421470373544,1,1.0,Hello World,
47,41.7820635968625,61.803764320633825,1,1.0,Hello World,
48,31.39982119140742,55.487574052364465,1,1.0,Hello World,
49,52.04811654078068,52.36487393077741,1,1.0,Hello World,
50,16.11668855950237,50.10343337784557,1,,,
51,74.72835876558611,54.68378793784312,1,,,
52,65.71439544327197,46.134602420145924,1,,,
53,34.03460919734297,57.4540644308601,1,,,
54,-21.635625152925314,49.744462742986364,1,,,
55,25.673052327605784,45.69705237603793,1,,,
56,53.72437587916606,46.688483586944834,1,,,
57,61.96080496743434,53.25478144339998,1,,,
58,51.882044358117525,48.250225710314226,1,,,
59,22.29779163070425,51.196910256054174,1,,,
60,68.87526954808526,43.6604796790719,1,,,
61,37.868147417945536,55.323462134758714,1,,,
62,39.97196839286062,45.305947888695755,1,,,
63,70.71119426659826,52.503204616488716,1,,,
64,36.76830203376554,48.98191417246576,1,,,
65,55.80355254659295,43.36350440561573,1,,,
66,45.62247859914493,44.30372661615322,1,,,
67,57.94391721087676,47.626309493988025,1,,,
68,35.77858374900444,52.57084594597949,1,,,
69,65.45772766992393,39.25715095323106,1,,,
70,64.97459603570536,56.715274067722,1,,,
71,14.98224570608032,48.56500092174847,1,,,
72,41.1279412040125,48.51899141073018,1,,,
73,34.13422423146889,56.77957934403115,1,,,
74,31.84870131760691,57.458492003776186,1,,,
75,45.5319596645933,44.87833133414843,1,,,
76,56.67172340838333,53.316243367929765,1,,,
77,29.811317013561013,53.43216470753017,1,,,
78,24.141626837525738,47.16505187711616,1,,,
79,59.6318692093175,48.0895165301221,1,,,
80,22.69238899669281,48.94247901322022,1,,,
81,53.38320937475257,50.95821721843473,1,,,
82,49.448399542741555,47.07550147349047,1,,,
83,58.361955699494764,51.49277575128491,1,,,
84,26.108953159152307,48.97486693797166,1,,,
85,46.531946010846,47.22515192132711,1,,,
86,17.546177992016382,47.615218903584555,1,,,
87,109.58825142046055,51.24960347813216,1,,,
88,84.74845125240861,52.708366606912186,1,,,
89,64.30699990069618,49.51864571768584,1,,,
90,77.87550814795061,48.76514266103477,1,,,
91,67.73497353175205,46.62968504584984,1,,,
92,37.25017305205475,55.20446227537913,1,,,
